filename,source_subdir,normalized_schema_iri,injected_subjectOf,detected_profiles,validated_against,schema_errors,target_path,moved,parse_error,framing_error
metadata_10.60707-emjy-za09.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-emjy-za09.json,True,,
metadata_10.60707-epbg-vr71.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-epbg-vr71.json,True,,
metadata_10.60707-esk8-v556.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-esk8-v556.json,True,,
metadata_10.60707-fgat-bv38.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-fgat-bv38.json,True,,
metadata_10.60707-fj10-mc96.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-fj10-mc96.json,True,,
metadata_10.60707-fwkp-de27.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-fwkp-de27.json,True,,
metadata_10.60707-fzjk-kt84.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-fzjk-kt84.json,True,,
metadata_10.60707-g5n1-0d67.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-g5n1-0d67.json,True,,
metadata_10.60707-gy8c-9d52.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-gy8c-9d52.json,True,,
metadata_10.60707-h0dk-6y68.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-h0dk-6y68.json,True,,
metadata_10.60707-h1pn-e892.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-h1pn-e892.json,True,,
metadata_10.60707-h795-9n84.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-h795-9n84.json,True,,
metadata_10.60707-htk9-f770.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-htk9-f770.json,True,,
metadata_10.60707-j16b-6288.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-j16b-6288.json,True,,
metadata_10.60707-j6f9-tp89.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-j6f9-tp89.json,True,,
metadata_10.60707-kzfq-t450.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,1,doc-corediscovery\examples\adaMetadata\metadata_10.60707-kzfq-t450.json,False,,
metadata_10.60707-m388-cb55.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-m388-cb55.json,True,,
metadata_10.60707-mayf-0w17.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-mayf-0w17.json,True,,
metadata_10.60707-nm1b-bz91.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-nm1b-bz91.json,True,,
metadata_10.60707-papb-7t64.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-papb-7t64.json,True,,
metadata_10.60707-pjmn-ap50.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-pjmn-ap50.json,True,,
metadata_10.60707-pmm3-st23.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,0,doc-corediscovery\examples\adaMetadata\metadata_10.60707-pmm3-st23.json,True,,
metadata_10.60707-ps65-7j23.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,1,doc-corediscovery\examples\adaMetadata\metadata_10.60707-ps65-7j23.json,False,,
metadata_10.60707-pte6-nf07.json,adaMetadata,True,True,https://w3id.org/cdif/core/1.1;https://w3id.org/cdif/discovery/1.1;https://w3id.org/cdif/manifest/1.1,CoreDiscovery,2,doc-corediscovery\examples\adaMetadata\metadata_10.60707-pte6-nf07.json,False,,
