DATAFLOW,FREQ,GEO_PICT,URBANIZATION,INDICATOR,SEX,AGE,FISHING_INSHORE,FISHING_NEARSHORE,FISHING_OFFSHORE,FISHING_OTHER_LOCATION,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT,CONF_STATUS
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,R,PERCENT,M,Y25T59,_T,NO,_T,_T,2019,47,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,R,PERCENT,_T,_T,YES,_T,NO,NO,2019,41,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,_T,PERCENT,F,_T,_T,_T,_T,NO,2019,59,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-D,R,PERCENT,_T,Y25T59,YES,YES,NO,YES,2019,0,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-D,_T,PERCENT,M,Y25T59,YES,_T,NO,YES,2019,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,_T,PERCENT,M,Y25T59,_T,YES,_T,_T,2019,6,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,_T,PERCENT,_T,Y25T59,NO,NO,YES,_T,2019,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,_T,PERCENT,_T,_T,_T,_T,_T,_T,2019,34,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH,R,PERCENT,F,Y60T999,YES,_T,_T,_T,2019,23,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH,_T,PERCENT,F,Y25T59,YES,YES,_T,NO,2019,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,U,PERCENT,F,Y60T999,_T,YES,NO,_T,2019,4,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,_T,PERCENT,M,Y25T59,NO,YES,NO,_T,2019,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-2,U,PERCENT,M,_T,_T,YES,NO,_T,2019,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-3,R,PERCENT,M,_T,_T,NO,NO,NO,2019,47,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-4,_T,PERCENT,_T,_T,_T,_T,_T,NO,2019,42,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,PERCENT,F,_T,_T,YES,NO,NO,2019,8,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,PERCENT,M,Y60T999,_T,YES,_T,_T,2019,18,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,PERCENT,_T,Y60T999,NO,NO,YES,_T,2019,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,_T,PERCENT,_T,Y25T59,YES,YES,NO,NO,2019,2,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,R,PERCENT,_T,Y60T999,YES,YES,_T,_T,2021,0,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,U,PERCENT,F,Y25T59,NO,_T,_T,_T,2021,1,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,_T,PERCENT,M,Y15T24,NO,YES,_T,NO,2021,5,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,_T,PERCENT,_T,Y60T999,_T,_T,NO,_T,2021,8,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-1,U,PERCENT,_T,_T,YES,NO,_T,_T,2021,3,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-2,R,PERCENT,M,Y60T999,YES,NO,NO,NO,2021,7,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-3,R,PERCENT,_T,Y25T59,YES,NO,NO,NO,2021,5,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-3,_T,PERCENT,_T,Y60T999,YES,_T,_T,NO,2021,8,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-4,_T,PERCENT,F,_T,NO,YES,_T,NO,2021,6,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-6,R,PERCENT,M,Y60T999,YES,NO,_T,NO,2021,11,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,U,PERCENT,F,Y25T59,YES,NO,_T,NO,2015,3,PERCENT,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,U,N,M,Y15T24,NO,NO,_T,NO,2019,16,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,U,N,M,Y25T59,YES,_T,_T,NO,2019,998,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,R,N,M,Y25T59,_T,NO,NO,YES,2015,12,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,U,N,M,Y25T59,_T,YES,_T,NO,2013,106,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,R,N,F,Y60T999,_T,YES,_T,_T,2015,21,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH,U,N,M,Y60T999,_T,_T,YES,_T,2019,1,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,U,N,M,Y60T999,_T,_T,_T,_T,2015,79,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,U,N,M,_T,_T,NO,YES,NO,2015,33,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,U,N,_T,Y60T999,NO,NO,NO,_T,2013,8,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,R,N,_T,Y60T999,NO,_T,NO,NO,2021,192,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW,R,N,_T,Y25T59,_T,YES,_T,NO,2013,23,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH,R,N,_T,_T,YES,YES,YES,NO,2019,1,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV,U,N,_T,_T,YES,YES,YES,YES,2015,12,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,R,N,_T,_T,YES,YES,_T,NO,2015,365,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO,R,N,_T,_T,NO,NO,_T,NO,2021,71,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,_T,N,M,Y60T999,NO,NO,_T,YES,2019,12,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,N,M,Y25T59,YES,YES,_T,_T,2015,10,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI,_T,N,_T,Y25T59,NO,YES,NO,NO,2019,1295,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NU,_T,N,_T,Y25T59,YES,_T,_T,_T,2015,10,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,CK,_T,N,_T,Y60T999,_T,NO,NO,YES,2015,4,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,NR,_T,N,_T,Y60T999,_T,_T,_T,_T,2012,50,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-6,R,N,M,Y25T59,YES,NO,NO,NO,2021,22,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-B,R,N,F,Y25T59,YES,YES,NO,NO,2015,6,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-3,R,N,F,Y60T999,YES,NO,NO,_T,2019,25,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-C,R,N,F,Y60T999,YES,_T,NO,NO,2019,13,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,R,N,M,Y25T59,_T,YES,NO,NO,2019,67,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-D,R,N,M,Y15T24,_T,NO,YES,_T,2019,8,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,N,M,Y25T59,_T,YES,NO,_T,2019,19,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-A,U,N,F,Y60T999,_T,NO,NO,_T,2015,9,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-D,R,N,M,Y60T999,_T,NO,_T,YES,2019,7,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-1,U,N,M,Y60T999,_T,_T,_T,YES,2013,24,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-C,R,N,M,_T,NO,YES,_T,NO,2019,153,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,R,N,F,_T,YES,NO,_T,NO,2019,40,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-A,U,N,M,_T,YES,_T,YES,_T,2015,30,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-C,R,N,_T,Y15T24,NO,YES,NO,_T,2019,11,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-4,R,N,_T,Y25T59,NO,YES,NO,_T,2019,44,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-6,R,N,_T,Y25T59,YES,NO,_T,NO,2019,409,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,U,N,_T,Y60T999,NO,_T,NO,NO,2019,46,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-4,R,N,_T,Y60T999,YES,_T,NO,_T,2021,51,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,PW-1,U,N,_T,Y25T59,NO,_T,_T,_T,2013,229,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-2,R,N,_T,Y60T999,_T,NO,_T,_T,2021,178,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-E,R,N,_T,Y25T59,_T,_T,NO,NO,2019,409,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-4,R,N,_T,Y15T24,_T,_T,_T,NO,2021,4,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-3,R,N,_T,_T,NO,NO,NO,YES,2021,7,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-1,U,N,_T,_T,NO,NO,_T,NO,2019,54,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,U,N,_T,_T,NO,NO,_T,_T,2019,455,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-D,R,N,_T,_T,NO,NO,_T,_T,2019,557,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-B,R,N,_T,_T,NO,_T,NO,YES,2019,26,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-C,R,N,_T,_T,NO,_T,_T,NO,2019,238,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-6,R,N,_T,_T,_T,NO,YES,_T,2021,15,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-5,R,N,_T,_T,_T,_T,NO,_T,2019,110,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,N,M,Y25T59,NO,NO,_T,_T,2019,235,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,N,F,Y15T24,_T,NO,YES,_T,2019,14,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,N,F,Y60T999,_T,NO,_T,YES,2019,10,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,MH-6,_T,N,F,Y60T999,_T,_T,_T,NO,2019,64,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-4,_T,N,F,Y60T999,_T,_T,_T,_T,2021,39,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,KI-A,_T,N,M,_T,NO,NO,_T,_T,2019,288,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TO-6,_T,N,_T,Y60T999,YES,NO,NO,NO,2021,6,N,,,,,
SPC:DF_FISHING_LOCATION_HIES(1.0),A,TV-A,_T,N,_T,Y60T999,NO,_T,YES,NO,2015,5,N,,,,,
