ResultIdentifier,ResultMeasureValue,UOM,Characteristic,CharacteristicURI,ActivityIdentifier,ActivityDateTime,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,Latitude,Longitude,SampleCollectionMethod,ResultSampleFractionText,ResultValueTypeName,ResultCommentText,DepthMeasure,ResultAnalyticalMethod,MethodName,LastUpdated
NWIS-103315196,1.83,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.01600040,2016-02-08T15:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321929111070601,32.3247,-111.1183,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible positive-pressure pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-103315117,0.02,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.01600039,2016-02-09T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321840111055001,32.3111,-111.0972,,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-47380127,0.04,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00300179,2003-03-13T11:15:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321658111082001,32.2828,-111.1389,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-47376340,3.65,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00300099,2002-12-19T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-125119947,0.03,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-125120500,0.04,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-125120222,16.8,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-47338963,0.01,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.00100329,2001-04-17T11:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-315728110563901,31.9578,-110.9442,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:CL037,"Nutrients, wf, salicylate color",
NWIS-125120777,0.03,mg/l,Ammonia and ammonium as N,ex:ammoniaandammoniumasn,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",
NWIS-103315243,2.36,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.01600040,2016-02-08T15:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321929111070601,32.3247,-111.1183,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible positive-pressure pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-103315163,0.029,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.01600039,2016-02-09T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321840111055001,32.3111,-111.0972,,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47380166,0.053,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00300179,2003-03-13T11:15:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-321658111082001,32.2828,-111.1389,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47376380,4.7,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00300099,2002-12-19T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120162,0.043,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300196,2023-02-03T15:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320126112532901,32.0239,-112.8914,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120715,0.056,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300198,2023-02-02T13:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-320115112573001,32.0208,-112.9583,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120437,21.7,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300197,2023-02-02T17:30:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315743113050201,31.9619,-113.0839,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-47338987,0.015,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.00100329,2001-04-17T11:00:00-07:00,,Ariz. Dept. of Water Resources,USGS-315728110563901,31.9578,-110.9442,ID:USGS; context:USGS; Name:USGS; Equipment:Unknown,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
NWIS-125120992,0.044,mg/l,Ammonia and ammonium NH4,ex:ammoniaandammoniumasnh4,nwisaz.01.02300199,2023-02-03T13:00:00-07:00,,U.S. Geological Survey-Water Resources Discipline,USGS-315232112475501,31.8756,-112.7986,ID:4040; context:USGS parameter code 82398; Name:Submersible pump; Equipment:Submersible gear pump,Dissolved,Actual,,,USGS:ALGOR,Computation by NWIS algorithm,
STORET-928629430,0.63,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-157547.CHEM,2017-02-14T12:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59353,32.2739444,-112.9667222,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:08:05
STORET-928629393,3.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-157546.CHEM,2017-02-14T09:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-59352,32.3910556,-113.0448611,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:08:04
STORET-928607534,27,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-86622.CHEM,2006-04-27T12:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-54549,32.4735569,-111.5410761,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:27
STORET-928607532,27,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-86622.CHEM,2006-04-27T12:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-54549,32.4735569,-111.5410761,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:27
STORET-928560773,0.031,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36757.CHEM,2000-08-10T02:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49395,31.9526381,-111.2750411,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 350.1,EPA 350.1,2022-01-20T16:54:48
STORET-928562648,3.3,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36893.CHEM,2001-05-09T10:17:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49335,31.9385825,-111.3881067,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: D.,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:55:14
STORET-928559833,1.1,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36680.CHEM,2001-01-30T01:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49166,31.8359306,-110.5435758,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:33
STORET-928559552,0.088,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36619.CHEM,2000-11-30T10:31:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49029,32.0116786,-110.4769333,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:29
STORET-928559434,0.5,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36609.CHEM,2000-11-29T09:10:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49027,31.9661381,-110.4515197,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:28
STORET-928559393,0.5,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36606.CHEM,2000-11-29T09:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49027,31.9661381,-110.4515197,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:27
STORET-928558647,0.22,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36512.CHEM,2000-07-26T09:21:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49010,31.7317203,-110.6288425,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:19
STORET-928558685,0.67,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36514.CHEM,2000-09-07T11:16:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-49004,32.1164167,-111.1257814,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:19
STORET-928557680,13,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36436.CHEM,2000-06-21T11:28:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48937,32.4469919,-111.2544644,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:07
STORET-928557716,12,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36437.CHEM,2000-06-21T11:29:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48937,32.4469919,-111.2544644,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:07
STORET-928562690,4.2,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36894.CHEM,2000-08-10T09:13:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48936,32.0079681,-111.4356022,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:55:14
STORET-928560831,4.3,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36761.CHEM,2000-08-10T09:10:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48936,32.0079681,-111.4356022,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:49
STORET-928557863,0.022,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36461.CHEM,2000-06-29T12:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48933,32.1539,-110.4542194,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:09
STORET-928557862,0.44,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36461.CHEM,2000-06-29T12:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48933,32.1539,-110.4542194,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:09
STORET-928559671,1.3,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36668.CHEM,2000-07-25T01:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48928,31.7542558,-110.6928119,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:31
STORET-928558601,0.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36507.CHEM,2000-07-25T10:25:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48926,31.75,-110.5236739,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:18
STORET-928558049,6.4,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36471.CHEM,2000-06-29T11:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48923,32.1538719,-110.4542914,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:12
STORET-928558123,0.17,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36474.CHEM,2000-06-29T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48922,32.148165,-110.4788658,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:13
STORET-928558235,1.1,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36480.CHEM,2000-07-18T09:18:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48916,32.2900047,-111.3216678,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:14
STORET-928555454,6.8,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36279.CHEM,2000-01-12T04:17:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48906,32.3362872,-110.539415,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:53:43
STORET-928557642,0.45,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36413.CHEM,2000-04-20T05:32:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48793,32.4620125,-110.5628433,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:06
STORET-928557572,0.31,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36411.CHEM,2000-04-20T05:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48793,32.4620125,-110.5628433,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:05
STORET-928557285,0.35,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36394.CHEM,2000-04-20T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48792,32.4563175,-110.6404036,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:03
STORET-928557394,0.026,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36402.CHEM,2000-04-19T06:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-48791,32.4925406,-110.6981314,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 350.1,EPA 350.1,2022-01-20T16:54:04
STORET-928630345,13,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-157042.CHEM,2017-01-09T12:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-42037,32.0238889,-112.8922222,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,| QA FLAGS: D2.,,AZDEQ_GW:EPA 350.1,EPA 350.1,2022-01-20T17:08:14
STORET-928559076,1.3,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36536.CHEM,2000-08-09T03:16:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-38256,31.8359731,-111.4131125,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:23
STORET-928558433,6.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36496.CHEM,2000-08-09T12:14:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-38081,32.0757636,-111.3278672,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:17
STORET-928559476,0.83,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36615.CHEM,2000-11-28T03:30:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-31196,31.8361444,-110.57536,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:28
STORET-928559876,0.42,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36684.CHEM,2000-11-29T05:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-27114,32.0441944,-110.5546944,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:33
STORET-928559714,1.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36670.CHEM,2000-08-09T10:17:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-25455,32.17685,-111.1874375,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:31
STORET-928554768,2.3,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36238.CHEM,2000-01-12T02:45:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-24899,32.3236111,-110.4689444,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:53:36
STORET-928556762,6.8,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36366.CHEM,2000-06-21T09:19:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23694,32.40875,-111.2774722,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:53:57
STORET-928557821,9.6,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-36442.CHEM,2000-06-20T11:02:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23296,32.4468925,-111.4166667,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T16:54:08
STORET-928607716,4.5,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-87239.CHEM,2006-03-15T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23286,32.4487703,-111.7271492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:29
STORET-928607718,4.5,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-87239.CHEM,2006-03-15T11:00:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23286,32.4487703,-111.7271492,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:29
STORET-928607160,10,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-86496.CHEM,2006-03-15T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23282,32.4487753,-111.7528128,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:23
STORET-928607162,10,mg/l,Ammonia-nitrogen,ex:ammonia-nitrogen,AZDEQ_GW-GW-86496.CHEM,2006-03-15T10:15:00-07:00,AMBIENT SAMPLING PROGRAM,ARIZONA DEPT OF ENVIRONMENTAL QUALITY,AZDEQ_GW-23282,32.4487753,-111.7528128,ID:Unknown; context:AZDEQ_GW; Name:Unknown; Equipment:Miscellaneous (Other),Total,Actual,,,AZDEQ_GW:EPA 353.2,EPA 353.2,2022-01-20T17:04:23
